nome,ruolo,squadra,quotazione
Olivera Mathias,D,Napoli,4
Rrahmani Amir,D,Napoli,6
Spinazzola Leonardo,D,Napoli,8
Britschgi Sascha,D,Parma,1
Carboni Franco,D,Parma,2
Circati Alessandro,D,Parma,8
Delprato Enrico,D,Parma,13
Hartley Ryan,D,Parma,1
Ndiaye Abdoulaye,D,Parma,1
Troilo Mariano,D,Parma,7
Valenti Lautaro,D,Parma,3
Valeri Emanele,D,Parma,9
Albiol Raul,D,Pisa,1
Angori Simone,D,Pisa,8
Bonfanti Giovanni,D,Pisa,1
Bozhinov Rosen,D,Pisa,1
Calabresi Arturo,D,Pisa,2
Canestrelli Simone,D,Pisa,7
Caracciolo Antonio,D,Pisa,9
Coppola Francesco,D,Pisa,1
